I0,I1,I2,I3,I4,I5,I6,I7
0.000000,0.000000,0.000000,0.000000,0.305176,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.061035,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.244141,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.061035,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.183105,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.427246,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.427246,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.305176,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.061035,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.122070,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.366211,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.183105,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.244141,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.244141,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.671387,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.122070,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.244141,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.244141,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.061035,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.305176,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.244141,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.183105,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.061035,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,-0.366211,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
